FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
13,Polyline M,417,RT - Residential Local,RM,BC - Bituminous Concrete,MACARTHUR ST,(RM) Crack Seal,BROADWAY (E),0,489,26.5,489,BONAIR ST (E),61.44,69.68,2606.09,417
14,Polyline M,380.1,RT - Residential Local,RM,BC - Bituminous Concrete,MEAD ST,(RM) Crack Seal,95' BEYOND CAMERON AVE,95,446,26,351,MOORE ST,63.36,75.92,1835.34,380
15,Polyline M,38,RT - Residential Local,PM,BC - Bituminous Concrete,BAY STATE AVE,(PM) Pavement Patching,BROADWAY (E),0,1291,26.5,1291,FOSKET ST,54.67,47.68,70627.78,38
16,Polyline M,415.1,AR - Arterial,SI,BC - Bituminous Concrete,MYSTIC AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",NORTH UNION ST,548,1348,52,800,800' W OF NORTH UNION ST,69.1,39.59,422794.46,415
17,Polyline M,379,RT - Residential Local,DN,BC - Bituminous Concrete,MEACHAM ST,Do Nothing,DEAD END,0,1053,26.5,1053,MEDFORD TOWNLINE,68.11,91.36,0,379
18,Polyline M,414.1,RT - Residential Local,PM,BC - Bituminous Concrete,MYRTLE ST,(PM) Pavement Patching,PEARL ST,984,1472,25,488,PERKINS ST,57.67,57.44,25186.3,414
19,Polyline M,378,RT - Residential Local,SI,BC - Bituminous Concrete,MEACHAM RD,"(SI) 2"" Mill & Overlay Local w/ramps",CAMBRIDGE TOWNLINE,0,1076,26.5,1076,DOVER ST,51.65,37.85,244301.44,378
20,Polyline M,376,RT - Residential Local,SI,BC - Bituminous Concrete,MASON ST,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (E),0,755,26.5,755,POWDER HOUSE BLVD,51.46,37.25,171420.16,376
21,Polyline M,415,AR - Arterial,DN,BC - Bituminous Concrete,MYSTIC AVE,Do Nothing,BOSTON TOWNLINE,0,548,37.5,548,NORTH UNION ST,87.64,99.84,0,415
22,Polyline M,414,RT - Residential Local,PM,BC - Bituminous Concrete,MYRTLE ST,(PM) Pavement Patching,WASHINGTON ST,0,984,25.5,984,PEARL ST,60.89,67.88,51801.04,414
23,Polyline M,375,RT - Residential Local,DN,BC - Bituminous Concrete,MARSHALL ST,Do Nothing,BROADWAY (E),0,1697,24,1697,PEARL ST,68.55,92.78,0,375
24,Polyline M,374,RT - Residential Local,RM,BC - Bituminous Concrete,MARION ST,(RM) Crack Seal,NEWTON ST,0,1201,26.5,1201,DIMICK ST,63.38,76,6400.67,374
25,Polyline M,371,RE - Residential Dead End,RM,BC - Bituminous Concrete,MAPLE AVE,(RM) Crack Seal,DEAD END,0,343,26.5,343,SCHOOL ST,48.6,70.45,1827.99,371
26,Polyline M,370,RT - Residential Local,DN,BC - Bituminous Concrete,MANSFIELD ST,Do Nothing,SOMERVILLE AVE,0,837,26.5,837,WASHINGTON ST,68.62,93.02,0,370
27,Polyline M,405,RT - Residential Local,PM,BC - Bituminous Concrete,MOUNTAIN AVE,(PM) Pavement Patching,PORTER ST,0,360,14.5,360,DEAD END,58.81,61.12,10776.4,405
28,Polyline M,37,RT - Residential Local,PM,BC - Bituminous Concrete,BARTON ST,(PM) Pavement Patching,BROADWAY (E),0,432,26.5,432,HAMILTON RD,58.78,61.04,23633.76,37
29,Polyline M,368,RT - Residential Local,PM,BC - Bituminous Concrete,MALLET ST,(PM) Pavement Patching,WILLOW AVE,0,700,26,700,LIBERTY AVE,56.2,52.64,37572.85,368
30,Polyline M,411,RT - Residential Local,BR,BC - Bituminous Concrete,MUSEUM ST,(BR) Recon/Reclaim Local w/ramps,CAMBRIDGE TOWNLINE,0,200,25,200,BEACON ST,43.46,11.25,77983.96,411
31,Polyline M,367,RT - Residential Local,DN,BC - Bituminous Concrete,MAINE AVE,Do Nothing,PENNSYLVANIA AVE,0,204,25,204,MAINE TERR,70.08,97.77,0,367
32,Polyline M,366,CO - Collector,SI,BC - Bituminous Concrete,MAIN ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",BROADWAY (W),0,1013,35,1013,MEDFORD TOWNLINE,61.71,33.07,360340.58,366
33,Polyline M,365,RE - Residential Dead End,DN,BC - Bituminous Concrete,MAGNUS AVE,Do Nothing,WASHINGTON ST,0,429,1,429,LEWIS ST,57.57,99.59,0,365
34,Polyline M,364,RT - Residential Local,DN,BC - Bituminous Concrete,MADISON ST,Do Nothing,SCHOOL ST,0,935,26,935,SYCAMORE ST,70.09,97.79,0,364
35,Polyline M,362.1,CO - Collector,SI,BC - Bituminous Concrete,LOWELL ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",HUDSON ST,2355,4848,26.5,2493,MEDFORD ST,62.28,34.92,671435.54,362
36,Polyline M,393,RT - Residential Local,RM,BC - Bituminous Concrete,MONMOUTH ST,(RM) Crack Seal,CENTRAL ST,0,274,26.5,274,225' E OF HARVARD ST,65.6,83.2,1460.27,393
37,Polyline M,362,CO - Collector,SI,BC - Bituminous Concrete,LOWELL ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",SOMERVILLE AVE,0,2355,24,2355,HUDSON ST,60.17,28.06,574431.6,362
38,Polyline M,360,RT - Residential Local,SI,BC - Bituminous Concrete,LOWDEN AVE,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (E),0,1301,26.5,1301,FOSKET ST,53.14,42.7,295386.82,360
39,Polyline M,36,RT - Residential Local,RM,BC - Bituminous Concrete,BARTLETT ST,(RM) Crack Seal,VERNON ST,0,1674,26,1674,BROADWAY (E),62.43,72.9,8753.16,36
40,Polyline M,359,RT - Residential Local,RM,BC - Bituminous Concrete,LOVELL ST,(RM) Crack Seal,BROADWAY (E),0,436,26,436,ELECTRIC AVE,61.31,69.26,2279.8,359
41,Polyline M,357,RT - Residential Local,PM,BC - Bituminous Concrete,LORING ST,(PM) Pavement Patching,SOMERVILLE AVE,0,470,26,470,OSGOOD ST,58.98,61.68,25227.55,357
42,Polyline M,356,RT - Residential Local,DN,BC - Bituminous Concrete,ALFRED A LOMBARDI WY,Do Nothing,BROADWAY (W),0,421,52,421,MYSTIC AVE,69.61,96.24,0,356
43,Polyline M,397,RT - Residential Local,PM,BC - Bituminous Concrete,MOORE ST,(PM) Pavement Patching,HOLLAND ST,0,748,26.5,748,MEAD ST,58.22,59.2,40921.34,397
44,Polyline M,354,RT - Residential Local,SI,BC - Bituminous Concrete,LINWOOD ST,"(SI) 2"" Mill & Overlay Local w/ramps",FITCHBURG ST,0,1871,40,1871,McGRATH HWY,53.03,42.34,641212.83,354
45,Polyline M,353,RT - Residential Local,SI,BC - Bituminous Concrete,LINE ST,"(SI) 2"" Mill & Overlay Local w/ramps",WASHINGTON ST,0,1632,22.5,1632,CAMBRIDGE TOWNLINE,53.88,45.1,314608.8,353
46,Polyline M,352,RT - Residential Local,DN,BC - Bituminous Concrete,LINDEN ST,Do Nothing,SOMERVILLE AVE,0,635,22,635,CHARLESTOWN ST,68.38,92.24,0,352
47,Polyline M,35,RT - Residential Local,SI,BC - Bituminous Concrete,BANKS ST,"(SI) 2"" Mill & Overlay Local w/ramps",ELM ST,0,688,26,688,SUMMER ST,49.11,29.62,153260.75,35
48,Polyline M,408,CO - Collector,SI,BC - Bituminous Concrete,MOUNT VERNON ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",BROADWAY (E),0,1089,26,1089,PEARL ST,60.21,28.18,287764.62,408
49,Polyline M,409,RT - Residential Local,SI,BC - Bituminous Concrete,MUNROE ST,"(SI) 2"" Mill & Overlay Local w/ramps",BOSTON ST,0,1634,30,1634,WALNUT ST,54.02,45.58,419992.72,409
50,Polyline M,349,RT - Residential Local,SI,BC - Bituminous Concrete,LINDEN AVE,"(SI) 2"" Mill & Overlay Local w/ramps",ELM ST,0,1427,30,1427,MOUNTAIN AVE,53.43,43.66,366786.82,349
51,Polyline M,348,RT - Residential Local,RM,BC - Bituminous Concrete,LINCOLN ST,(RM) Crack Seal,BROADWAY (E),0,595,26,595,PERKINS ST,66.13,84.92,3111.19,348
52,Polyline M,346,RE - Residential Dead End,DN,BC - Bituminous Concrete,LINCOLN PKWY,Do Nothing,JOSEPH ST,0,428,26.5,428,CUL-DE-SAC,57.69,99.98,0,346
53,Polyline M,345,RT - Residential Local,PM,BC - Bituminous Concrete,LINCOLN AVE,(PM) Pavement Patching,MT VERNON ST,0,519,19.5,519,LINCOLN ST,56.69,54.24,20893.21,345
54,Polyline M,343,RT - Residential Local,PM,BC - Bituminous Concrete,LIBERTY AVE,(PM) Pavement Patching,BROADWAY (E),0,1513,26.5,1513,APPLETON ST,56.47,53.52,82772.79,343
55,Polyline M,342,RT - Residential Local,DN,BC - Bituminous Concrete,LEXINGTON AVE,Do Nothing,CEDAR ST,0,1397,30,1397,WILLOW AVE,70.74,99.9,0,342
56,Polyline M,341,RE - Residential Dead End,SI,BC - Bituminous Concrete,LEWIS ST,"(SI) 2"" Mill & Overlay Local w/ramps",MAGNUS AVE,0,430,26.5,430,DEAD END,33.75,22.2,97629.74,341
57,Polyline M,339,RT - Residential Local,PM,BC - Bituminous Concrete,LESLEY AVE,(PM) Pavement Patching,HIGHLAND AVE,0,389,26.5,389,LEXINGTON AVE,60.42,66.38,21281.35,339
58,Polyline M,338,RT - Residential Local,RM,BC - Bituminous Concrete,LEONARD ST,(RM) Crack Seal,BROADWAY (E),0,525,26,525,POWDER HOUSE BLVD,67,87.76,2745.17,338
59,Polyline M,337,RT - Residential Local,SI,BC - Bituminous Concrete,LEON ST,"(SI) 2"" Mill & Overlay Local w/ramps",CONCORD AVE,0,190,26.5,190,DICKINSON ST,51.2,36.4,43138.42,337
60,Polyline M,336,RT - Residential Local,SI,BC - Bituminous Concrete,LELAND ST,"(SI) 2"" Mill & Overlay Local w/ramps",WASHINGTON ST,0,382,26.5,382,DANE AVE,54.01,45.52,86731.79,336
61,Polyline M,335,RT - Residential Local,RM,BC - Bituminous Concrete,LEE ST,(RM) Crack Seal,RICHDALE AVE,0,438,26,438,MEDFORD ST,61.81,70.87,2290.25,335
62,Polyline M,334,RE - Residential Dead End,BR,BC - Bituminous Concrete,LAUREL TERR,(BR) Recon/Reclaim Local w/ramps,LAUREL ST,0,250,16,250,DEAD END,32.47,18.02,62386.04,334
63,Polyline M,333,RT - Residential Local,PM,BC - Bituminous Concrete,LAUREL ST,(PM) Pavement Patching,SOMERVILLE AVE,0,1040,26.5,1040,SUMMER ST,56.49,53.6,56896.05,333
64,Polyline M,330,RT - Residential Local,BR,BC - Bituminous Concrete,LANGMAID AVE,(BR) Recon/Reclaim Local w/ramps,BROADWAY (W),0,398,20,398,HEATH ST,46.1,19.81,124148.84,330
65,Polyline M,41.2,AR - Arterial,RM,BC - Bituminous Concrete,BEACON ST,(RM) Crack Seal,135' S OF KENT ST,3547,4862,44,1315,75' N OF MILLER ST,79.93,74.76,11636.29,41
66,Polyline M,33,RT - Residential Local,PM,BC - Bituminous Concrete,BAILEY RD,(PM) Pavement Patching,TEN HILLS RD,0,1739,26,1739,SHORE DR,57.85,58,93341.83,33
67,Polyline M,329,RE - Residential Dead End,RM,BC - Bituminous Concrete,LANDERS ST,(RM) Crack Seal,SCHOOL ST,0,244,27,244,DEAD END,47.95,68.35,1324.92,329
68,Polyline M,328,RT - Residential Local,SI,BC - Bituminous Concrete,LAKE ST,"(SI) 2"" Mill & Overlay Local w/ramps",HAWKINS ST,0,842,26.5,842,CHURCH ST,48,26,191172.65,328
69,Polyline M,327,RE - Residential Dead End,RM,BC - Bituminous Concrete,KNOWLTON ST,(RM) Crack Seal,TUFTS ST,0,461,26.5,461,NORTHEASTERLY,52.91,84.45,2456.88,327
70,Polyline M,326,RT - Residential Local,PM,BC - Bituminous Concrete,KNAPP ST,(PM) Pavement Patching,SCHOOL ST,0,420,27,420,GRANITE ST,58.58,60.4,23410.8,326
71,Polyline M,325,RT - Residential Local,DN,BC - Bituminous Concrete,KINGSTON ST,Do Nothing,MEACHAM RD,0,668,26.5,668,CAMBRIDGE TOWNLINE,67.5,89.36,0,325
72,Polyline M,321.1,CO - Collector,RM,BC - Bituminous Concrete,KIDDER AVE,(RM) Crack Seal,WILLOW AVE,1422,2608,26,1186,BOSTON AVE (S),77.61,84.72,6201.46,321
73,Polyline M,321,CO - Collector,SI,BC - Bituminous Concrete,KIDDER AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",COLLEGE AVE,0,1422,26,1422,WILLOW AVE,63.03,37.36,375758.76,321
74,Polyline M,320,RT - Residential Local,PM,BC - Bituminous Concrete,KENWOOD ST,(PM) Pavement Patching,BILLINGHAM ST,0,375,26.5,375,COLLEGE AVE,56.2,52.64,20515.48,320
75,Polyline M,32,RT - Residential Local,PM,BC - Bituminous Concrete,AVON ST,(PM) Pavement Patching,SCHOOL ST,0,1404,26.5,1404,CENTRAL ST,59.72,64.1,76809.72,32
76,Polyline M,318,RT - Residential Local,RM,BC - Bituminous Concrete,KENSINGTON AVE,(RM) Crack Seal,BROADWAY (W),0,524,26,524,BLAKELEY AVE,62.9,74.44,2739.94,318
77,Polyline M,316,RT - Residential Local,DN,BC - Bituminous Concrete,JOY ST,Do Nothing,WASHINGTON ST,0,1204,42.5,1204,POPLAR ST,69.01,94.28,0,316
78,Polyline M,315.1,RT - Residential Local,DN,BC - Bituminous Concrete,JOSEPHINE AVE,Do Nothing,KIDDER AVE,793,1781,30,988,BROADWAY (E),69.74,96.64,0,315
79,Polyline M,315,RT - Residential Local,BR,BC - Bituminous Concrete,JOSEPHINE AVE,(BR) Recon/Reclaim Local w/ramps,MORRISON AVE,0,793,29.5,793,KIDDER AVE,45.9,19.19,364860.93,315
80,Polyline M,314,RT - Residential Local,PM,BC - Bituminous Concrete,JOSEPH ST,(PM) Pavement Patching,NEWTON ST,0,505,26.5,505,LINCOLN PKWY,60.37,66.2,27627.35,314
81,Polyline M,311,RT - Residential Local,DN,BC - Bituminous Concrete,JASPER ST,Do Nothing,PEARL ST,0,329,26.5,329,GILMAN ST,70.75,99.95,0,311
82,Polyline M,309.1,RT - Residential Local,PM,BC - Bituminous Concrete,JAQUES ST,(PM) Pavement Patching,TEMPLE ST,1258,2724,30,1466,EDGAR AVE,54.74,47.92,90794.33,309
83,Polyline M,41.15,AR - Arterial,SI,BC - Bituminous Concrete,BEACON ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",PROPERZI WAY (S),2551,3547,42.5,996,135' S OF KENT ST,64.9,25.92,430213.6,41
84,Polyline M,309,RT - Residential Local,RM,BC - Bituminous Concrete,JAQUES ST,(RM) Crack Seal,FELLSWAY WEST,0,1258,26.5,1258,TEMPLE ST,62.04,71.64,6704.44,309
85,Polyline M,308,RT - Residential Local,RM,BC - Bituminous Concrete,JAMES ST,(RM) Crack Seal,PEARL ST,0,365,26.5,365,RADCLIFFE RD,62.97,74.65,1945.24,308
86,Polyline M,307,RE - Residential Dead End,PM,BC - Bituminous Concrete,JACKSON RD,(PM) Pavement Patching,WALNUT ST,0,571,26.5,571,DEAD END,43.46,53.76,31238.18,307
87,Polyline M,306,RT - Residential Local,DN,BC - Bituminous Concrete,IVALOO ST,Do Nothing,PARK ST,0,748,26.5,748,BEACON ST,70.76,99.96,0,306
88,Polyline M,305,RT - Residential Local,PM,BC - Bituminous Concrete,IRVINGTON RD,(PM) Pavement Patching,MYSTIC VALLEY PKWY,0,717,26.5,717,BOSTON AVE (N),56.1,52.32,39225.54,305
89,Polyline M,304,RT - Residential Local,DN,BC - Bituminous Concrete,IRVING ST,Do Nothing,HOLLAND ST,0,1246,26.5,1246,BROADWAY (E),70.74,99.9,0,304
90,Polyline M,300,RT - Residential Local,PM,BC - Bituminous Concrete,INDIANA AVE,(PM) Pavement Patching,BROADWAY (W),0,436,24.5,436,PENNSYLVANIA AVE,54.87,48.32,22052.42,300
91,Polyline M,30,RT - Residential Local,DN,BC - Bituminous Concrete,AUTUMN ST,Do Nothing,BROADWAY (E),0,169,14,169,LOUISBURG PL,70.75,99.94,0,30
92,Polyline M,299,RT - Residential Local,RM,BC - Bituminous Concrete,ILLINOIS AVE,(RM) Crack Seal,BROADWAY (W),0,479,24.5,479,PENNSYLVANIA AVE,61.89,71.15,2360.13,299
93,Polyline M,298,RT - Residential Local,PM,BC - Bituminous Concrete,IBBETSON ST,(PM) Pavement Patching,SOMERVILLE AVE,0,856,26.5,856,LOWELL ST,56.98,55.2,46829.78,298
94,Polyline M,297,RT - Residential Local,RM,BC - Bituminous Concrete,HUNTING ST,(RM) Crack Seal,CAMBRIDGE TOWNLINE,0,147,20,147,SOUTH ST,62.67,73.67,591.27,297
95,Polyline M,296,RT - Residential Local,SI,BC - Bituminous Concrete,HUDSON ST,"(SI) 2"" Mill & Overlay Local w/ramps",CENTRAL ST,0,2795,26.5,2795,CEDAR ST,52.02,39.05,634593.71,296
96,Polyline M,295,RT - Residential Local,RM,BC - Bituminous Concrete,HOWE ST,(RM) Crack Seal,MARSHALL ST,0,492,26,492,SCHOOL ST,65.03,81.35,2572.61,295
97,Polyline M,294,RT - Residential Local,RM,BC - Bituminous Concrete,HOWARD ST,(RM) Crack Seal,THORNDIKE ST,0,442,26.5,442,GORHAM ST,63.2,75.4,2355.61,294
98,Polyline M,293,RT - Residential Local,DN,BC - Bituminous Concrete,HOUGHTON ST,Do Nothing,CAMBRIDGE TOWNLINE,0,699,27.5,699,SPRINGFIELD ST,67.86,90.56,0,293
99,Polyline M,292,RE - Residential Dead End,PM,BC - Bituminous Concrete,HORACE ST,(PM) Pavement Patching,SOUTH ST,0,520,20,520,DEAD END,44.92,58.5,21470.3,292
100,Polyline M,291,RT - Residential Local,RM,BC - Bituminous Concrete,HOOKER AVE,(RM) Crack Seal,VICTORIA ST,0,730,26,730,DEAD END,66.63,86.56,3817.09,291
101,Polyline M,290,RE - Residential Dead End,RM,BC - Bituminous Concrete,HOMER SQ,(RM) Crack Seal,BONNER AVE,0,220,18,220,CUL-DE-SAC,50.41,76.32,796.4,290
102,Polyline M,29,RT - Residential Local,DN,BC - Bituminous Concrete,AUSTIN ST,Do Nothing,BROADWAY (W),0,528,26.5,528,MAINE TERR,70.08,97.77,0,29
103,Polyline M,289,RT - Residential Local,PM,BC - Bituminous Concrete,HOLYOKE RD,(PM) Pavement Patching,ELM ST (E),0,696,26.5,696,ELM ST (W),56.42,53.36,38076.55,289
104,Polyline M,287,CO - Collector,PM,BC - Bituminous Concrete,HOLLAND ST,(PM) Pavement Patching,DOVER ST,0,2767,38,2767,BROADWAY (E),70.97,58.16,217068.1,287
105,Polyline M,285,RT - Residential Local,DN,BC - Bituminous Concrete,HINCKLEY ST,Do Nothing,BROADWAY (E),0,1117,20,1117,DEAD END,67.4,89.04,0,285
106,Polyline M,284,RT - Residential Local,DN,BC - Bituminous Concrete,HILLSDALE RD,Do Nothing,MEDFORD TOWNLINE,0,933,26.5,933,CONWELL AVE,69.75,96.68,0,284
107,Polyline M,283,RE - Residential Dead End,RM,BC - Bituminous Concrete,HILLSIDE PK,(RM) Crack Seal,WALNUT ST,0,214,26.5,214,DEAD END,48.58,70.4,1140.5,283
108,Polyline M,280,RT - Residential Local,PM,BC - Bituminous Concrete,HILL ST,(PM) Pavement Patching,BROADWAY (E),0,338,26.5,338,FAIRMOUNT AVE,56.86,54.8,18491.19,280
109,Polyline M,28,RE - Residential Dead End,DN,BC - Bituminous Concrete,AUBURN AVE,Do Nothing,CROSS ST,0,497,19,497,DEAD END,57.69,99.98,0,28
110,Polyline M,279,RT - Residential Local,BR,BC - Bituminous Concrete,HIGHSCHOOL ENTRANCE,(BR) Recon/Reclaim Local w/ramps,HIGHLAND AVE (E),0,722,22,722,HIGHLAND AVE (W),46.02,19.56,247737.61,279
111,Polyline M,278,RE - Residential Dead End,PM,BC - Bituminous Concrete,HIGHLAND RD,(PM) Pavement Patching,DEAD END,0,1695,30.5,1695,BOSTON AVE (S),43.01,47.28,106726.68,278
112,Polyline M,277.1,CO - Collector,SI,BC - Bituminous Concrete,HIGHLAND AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",ELLINGTON RD,8371,9346,40,975,COLLEGE AVE,64.84,40.73,396369.7,277
113,Polyline M,277.04,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,CHERRY ST,6693,8371,39.5,1678,ELLINGTON RD,71.93,63.76,136833.52,277
114,Polyline M,277.03,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,LOWELL ST,4791,6693,39.5,1902,CHERRY ST,72.25,64.81,155099.71,277
115,Polyline M,277.02,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,CENTRAL ST,3404,4791,39.5,1387,LOWELL ST,69.64,56.34,113103.71,277
116,Polyline M,277.01,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,SCHOOL ST,2005,3404,39.5,1399,CENTRAL ST,70.27,58.37,114082.31,277
117,Polyline M,277,CO - Collector,PM,BC - Bituminous Concrete,HIGHLAND AVE,(PM) Pavement Patching,MEDFORD ST,0,2005,39.5,2005,SCHOOL ST,69.47,55.78,163498.8,277
118,Polyline M,276,RT - Residential Local,RM,BC - Bituminous Concrete,HIGH ST,(RM) Crack Seal,NORTH ST,0,740,26.5,740,ALEWIFE BROOK PKWY,63.68,76.96,3943.79,276
119,Polyline M,274,RT - Residential Local,DN,BC - Bituminous Concrete,HERBERT ST,Do Nothing,CHESTER ST,0,378,26.5,378,DAY ST,70.06,97.71,0,274
120,Polyline M,272,RE - Residential Dead End,RM,BC - Bituminous Concrete,HENDERSON ST,(RM) Crack Seal,RICHARDSON ST,0,583,14.5,583,DEAD END,51.97,81.39,1700.1,272
121,Polyline M,271,RT - Residential Local,RM,BC - Bituminous Concrete,HEATH ST,(RM) Crack Seal,TEMPLE ST,0,1889,30,1889,MORELAND ST,62.65,73.6,11396.97,271
122,Polyline M,27,RT - Residential Local,PM,BC - Bituminous Concrete,ATHERTON ST,(PM) Pavement Patching,CENTRAL ST,0,805,26,805,SPRING ST,60.87,67.82,43208.9,27
123,Polyline M,269,RT - Residential Local,RM,BC - Bituminous Concrete,HAWTHORNE ST,(RM) Crack Seal,WILLOW AVE,0,854,20,854,CUTTER AVE,63.48,76.32,3434.98,269
124,Polyline M,268,RT - Residential Local,PM,BC - Bituminous Concrete,HAWKINS ST,(PM) Pavement Patching,SOMERVILLE AVE,0,397,26.5,397,WASHINGTON ST,55.11,49.12,21718.91,268
125,Polyline M,267,RT - Residential Local,DN,BC - Bituminous Concrete,HATHORN ST,Do Nothing,BROADWAY (E),0,385,26.5,385,ARLINGTON ST,70.75,99.95,0,267
126,Polyline M,266,RT - Residential Local,SI,BC - Bituminous Concrete,HARVARD ST,"(SI) 2"" Mill & Overlay Local w/ramps",ATHERTON ST,0,760,26,760,SUMMER ST,53.73,44.62,169299.63,266
127,Polyline M,264,RT - Residential Local,SI,BC - Bituminous Concrete,HARRISON ST,"(SI) 2"" Mill & Overlay Local w/ramps",IVALOO ST,0,690,26.5,690,KENT ST,52.22,39.7,156662.07,264
128,Polyline M,262,RE - Residential Dead End,BR,BC - Bituminous Concrete,HAROLD ST,(BR) Recon/Reclaim Local w/ramps,DEAD END,0,518,26.5,518,MARION ST,30.27,10.89,214095.13,262
129,Polyline M,260,RT - Residential Local,RM,BC - Bituminous Concrete,HARDING ST,(RM) Crack Seal,WARD ST,0,457,20.5,457,CAMBRIDGE TOWNLINE,63.42,76.12,1884.1,260
130,Polyline M,26,RT - Residential Local,DN,BC - Bituminous Concrete,ASSEMBLY SQ DR,Do Nothing,FELLSWAY WEST,0,4536,62,4536,MYSTIC AVE,70.12,97.89,0,26
131,Polyline M,259,RT - Residential Local,PM,BC - Bituminous Concrete,HARDAN RD,(PM) Pavement Patching,POWDER HOUSE BLVD,0,183,26,183,SOUTHERLY,57.58,57.12,9822.69,259
132,Polyline M,258,RT - Residential Local,RM,BC - Bituminous Concrete,HANSON ST,(RM) Crack Seal,PROPERZI WAY,0,851,23,851,WASHINGTON ST,62.8,74.09,3936.35,258
133,Polyline M,256.1,RT - Residential Local,DN,BC - Bituminous Concrete,HANCOCK ST,Do Nothing,HIGHLAND AVE,1408,1842,33,434,LEXINGTON AVE,70.07,97.72,0,256
134,Polyline M,256,RT - Residential Local,DN,BC - Bituminous Concrete,HANCOCK ST,Do Nothing,ELM ST,0,1408,26.5,1408,HIGHLAND AVE,70.28,98.4,0,256
135,Polyline M,255,RT - Residential Local,SI,BC - Bituminous Concrete,HAMMOND ST,"(SI) 2"" Mill & Overlay Local w/ramps",CONCORD AVE,0,315,26.5,315,DICKENSON ST,47.42,24.12,71519.53,255
